id,LST,NDVI,IBI,MNDWI
280,43.95379,0.34995,0.01003,-0.38077
281,42.96007,0.22398,0.09092,-0.38931
282,42.12923,0.41567,-0.13990,-0.24034
283,38.71972,0.58844,-0.09850,-0.45622
284,36.75658,0.62462,-0.27797,-0.25361
285,43.41969,0.29843,0.05814,-0.38218
286,40.96346,0.39075,-0.02600,-0.39477
287,38.45041,0.71448,-0.24290,-0.43608
288,31.54794,-0.11422,-0.23690,0.48161
289,39.86647,0.46940,-0.02113,-0.45760
290,38.27306,0.62293,-0.14142,-0.45484
291,41.78772,0.12286,0.18352,-0.39973
292,37.93193,0.61039,-0.13163,-0.44666
293,36.94305,0.54986,-0.04714,-0.48004
294,39.06097,0.59375,-0.15333,-0.40786
295,42.04829,0.53154,-0.12545,-0.38887
296,31.70685,-0.10329,-0.15687,0.37874
297,34.78931,0.35189,-0.24476,0.01449
298,37.64737,0.59358,-0.13176,-0.44702
299,38.85499,0.66419,-0.16928,-0.47380
300,34.79453,0.27974,-0.35848,0.27561
301,32.39912,-0.07237,-0.15449,0.33599
302,38.65191,0.61843,-0.14208,-0.46941
303,40.16963,0.46538,-0.10237,-0.37908
304,38.66666,0.67216,-0.23972,-0.39414
305,37.36674,0.67371,-0.17148,-0.45448
306,40.48675,0.53456,-0.04941,-0.48598
307,37.18917,0.67441,-0.19585,-0.44417
308,40.14682,0.54845,-0.15312,-0.38645
309,36.50380,0.62562,-0.12738,-0.45876
310,37.61824,0.63856,-0.14225,-0.46436
311,39.40704,0.63672,-0.21051,-0.37164
312,39.30058,0.45550,-0.10244,-0.31403
313,47.75020,0.22947,0.10656,-0.42287
314,40.84594,0.49299,-0.09732,-0.40426
315,35.47720,0.63946,-0.14953,-0.44944
316,42.06993,0.25392,0.05254,-0.37672
317,41.22171,0.49276,-0.09897,-0.39445
318,42.02331,0.55914,-0.11080,-0.42725
319,40.16055,0.55135,-0.12587,-0.39247
320,37.87325,0.69818,-0.22080,-0.41927
321,37.95868,0.64593,-0.21132,-0.39265
322,37.28002,0.61997,-0.12696,-0.45105
323,46.47341,0.25168,0.09571,-0.42844
324,34.72002,0.01621,-0.35107,0.49057
